Date,Modality,FirstImageTime,ImagesPerSecond
2021-11-24 08:27:01,Failed,Failed,Failed
2021-11-24 08:27:02,Failed,Failed,Failed
2021-11-24 08:27:04,CR,0.28,9.67
2021-11-24 08:27:04,CR,0.29,10.22
2021-11-24 08:27:05,CT,0.11,678.58
2021-11-24 08:27:06,MR,0.13,243.88
2021-11-24 08:27:06,CR,0.17,26.54
2021-11-24 08:27:06,CT,0.27,538.13
2021-11-24 08:27:09,US,0.16,297.93
2021-11-24 08:27:11,CR,1.65,10.02
2021-11-24 08:27:13,CR,0.16,27.73
2021-11-24 08:27:14,CT,0.14,349.18
2021-11-24 08:27:16,US,0.16,165.29
2021-11-24 08:27:16,CR,0.16,23.45
2021-11-24 08:27:17,CT,0.12,166.19
2021-11-24 08:30:51,Failed,Failed,Failed
2021-11-24 08:31:01,Failed,Failed,Failed
2021-11-24 09:28:30,Failed,Failed,Failed
2021-11-24 09:28:32,Failed,Failed,Failed
2021-11-24 09:28:32,Failed,Failed,Failed
2021-11-24 09:28:33,Failed,Failed,Failed
2021-11-24 09:29:11,CR,0.15,31.86
2021-11-24 09:29:54,CR,0.15,28.54
2021-11-24 09:29:55,CR,0.15,24.77
2021-11-24 09:29:57,MR,0.15,359.12
2021-11-24 09:29:58,US,0.19,153.32
2021-11-24 09:29:58,CR,0.15,26.5
2021-11-24 09:30:00,US,0.16,144.91
2021-11-24 09:30:02,US,0.15,296.85
2021-11-24 09:30:03,US,0.44,113.04
2021-11-24 09:30:04,CT,0.19,592.26
2021-11-24 09:30:05,CR,0.47,8.79
2021-11-24 09:30:05,MR,0.41,174.87
2021-11-24 09:30:07,MR,0.38,178.05
2021-11-24 09:30:07,CT,0.18,784.92
2021-11-24 09:30:07,CR,0.15,26.0
2021-11-24 09:30:10,MR,0.15,342.29
2021-11-24 09:30:11,CT,0.18,562.64
2021-11-24 09:30:12,MR,0.15,451.42
2021-11-24 09:30:13,CR,0.19,22.57
2021-11-24 09:30:13,CT,0.14,459.94
2021-11-24 09:30:14,CR,0.15,28.62
2021-11-24 09:30:15,CR,0.42,11.22
2021-11-24 09:30:16,CR,0.19,15.22
2021-11-24 09:30:17,CR,1.06,28.17
2021-11-24 09:30:18,US,0.25,287.31
2021-11-24 09:30:20,CR,0.44,12.24
2021-11-24 09:30:44,CR,0.16,28.72
2021-11-24 09:32:08,CR,0.15,26.56
2021-11-24 09:34:10,CT,0.18,375.69
2021-11-24 09:34:10,CR,1.45,13.65
2021-11-24 09:34:11,CR,0.16,24.71
2021-11-24 09:34:12,US,0.17,282.19
2021-11-24 09:34:13,CR,0.16,25.69
2021-11-24 09:34:14,CR,0.15,26.77
2021-11-24 09:34:15,CR,0.31,13.38
2021-11-24 09:34:16,CR,0.28,13.32
2021-11-24 09:34:17,CR,0.15,27.25
2021-11-24 09:34:18,CT,0.14,730.7
2021-11-24 09:34:21,MR,0.14,433.24
2021-11-24 09:34:21,CT,0.14,378.55
2021-11-24 09:34:22,US,0.17,265.3
2021-11-24 09:34:22,CR,0.16,28.03
2021-11-24 09:34:24,CR,0.32,11.47
2021-11-24 09:34:25,CT,0.17,651.77
2021-11-24 09:34:26,CR,0.16,29.37
2021-11-24 09:34:27,MR,0.14,534.44
2021-11-24 09:34:28,MR,0.15,346.07
2021-11-24 09:34:29,MR,0.17,453.25
2021-11-24 09:34:31,CT,0.15,352.16
2021-11-24 09:34:31,CR,0.34,14.3
2021-11-24 09:34:32,CR,0.16,27.49
2021-11-24 09:34:34,CR,0.17,25.01
2021-11-24 09:34:34,MR,0.29,219.86
2021-11-24 09:34:36,CR,0.18,22.96
2021-11-24 09:34:37,CT,0.17,662.99
2021-11-24 09:34:39,CR,0.18,23.79
2021-11-24 09:34:39,CT,0.44,260.13
2021-11-24 09:34:39,MG,0.23,12.32
2021-11-24 09:34:40,MR,0.16,503.24
2021-11-24 09:34:41,MG,0.18,8.64
2021-11-24 09:34:41,CR,0.17,30.75
2021-11-24 09:34:43,MG,0.34,6.25
2021-11-24 09:34:43,CR,0.29,12.31
2021-11-24 09:34:44,CR,0.16,27.75
2021-11-24 09:34:45,CR,0.29,12.85
2021-11-24 09:34:47,MG,0.18,11.6
2021-11-24 09:34:49,CR,0.15,29.58
2021-11-24 09:34:49,CR,2.62,7.28
2021-11-24 09:34:50,CT,0.16,571.59
2021-11-24 09:34:54,CT,0.16,542.12
2021-11-24 09:34:54,CT,0.92,99.82
2021-11-24 09:34:55,MR,0.15,337.87
2021-11-24 09:34:55,MG,3.29,5.57
2021-11-24 09:34:55,CR,0.16,28.45
2021-11-24 09:34:56,CT,2.46,280.84
2021-11-24 09:34:57,US,0.14,149.83
2021-11-24 09:34:57,MR,0.15,317.53
2021-11-24 09:34:59,CR,0.15,28.08
2021-11-24 09:34:59,CR,0.15,32.51
2021-11-24 09:35:01,MG,0.19,11.96
2021-11-24 09:35:01,CR,0.34,8.48
2021-11-24 09:35:02,CR,0.29,11.1
2021-11-24 09:35:03,CR,0.15,26.24
2021-11-24 09:35:04,CR,0.15,27.24
2021-11-24 09:35:05,CR,0.16,23.39
2021-11-24 09:35:06,CR,0.32,11.73
2021-11-24 09:35:08,CT,0.35,483.64
2021-11-24 09:35:09,CR,0.23,18.07
2021-11-24 09:35:10,CR,0.43,8.11
2021-11-24 09:35:12,US,0.15,302.78
2021-11-24 09:35:12,CR,0.28,12.8
2021-11-24 09:35:14,CR,0.17,22.77
2021-11-24 09:35:14,MR,0.31,210.08
2021-11-24 09:35:16,MR,0.12,818.55
2021-11-24 09:35:18,MG,0.49,5.92
2021-11-24 09:35:19,CR,0.33,11.91
2021-11-24 09:35:20,MG,0.52,5.57
2021-11-24 09:35:21,US,0.19,98.09
2021-11-24 09:35:21,CR,0.32,10.92
2021-11-24 09:35:23,CR,0.2,26.16
2021-11-24 09:35:23,MR,0.23,507.89
2021-11-24 09:35:25,CR,0.33,17.24
2021-11-24 09:35:26,CR,0.36,11.82
2021-11-24 09:35:27,MG,0.37,9.81
2021-11-24 09:35:28,CR,0.18,28.75
2021-11-24 09:35:29,CR,1.49,12.13
2021-11-24 09:35:30,CR,0.33,12.96
2021-11-24 09:35:31,CT,0.58,360.63
2021-11-24 09:35:32,MG,0.52,9.54
2021-11-24 09:35:32,US,0.16,176.14
2021-11-24 09:35:33,MG,0.21,11.23
2021-11-24 09:35:34,CT,0.18,696.2
2021-11-24 09:35:34,CT,0.2,491.94
2021-11-24 09:35:34,CR,0.28,14.25
2021-11-24 09:35:36,US,0.34,89.24
2021-11-24 09:35:36,CR,0.16,26.79
2021-11-24 09:35:37,CR,0.27,14.55
2021-11-24 09:35:37,CT,0.12,574.34
2021-11-24 09:35:38,CR,0.45,8.65
2021-11-24 09:35:38,CT,0.41,362.61
2021-11-24 09:35:39,MG,0.25,12.17
2021-11-24 09:35:39,CR,0.16,23.53
2021-11-24 09:35:40,MR,0.17,424.98
2021-11-24 09:35:41,CR,1.9,12.95
2021-11-24 09:35:42,MG,0.22,10.97
2021-11-24 09:35:43,US,0.92,92.02
2021-11-24 09:35:46,CR,0.16,31.15
2021-11-24 09:35:48,CR,0.12,48.87
2021-11-24 09:35:50,CR,0.26,14.93
2021-11-24 09:35:56,MG,0.32,6.73
2021-11-24 09:35:58,CR,0.26,13.5
2021-11-24 09:36:00,CR,0.26,14.81
2021-11-24 09:36:03,CT,0.18,813.98
2021-11-24 09:36:07,CT,0.13,621.55
2021-11-24 09:36:08,CR,0.15,29.96
2021-11-24 09:36:08,US,0.29,86.12
2021-11-24 09:36:09,CR,0.2,21.86
2021-11-24 09:36:12,MG,0.21,12.6
2021-11-24 09:36:13,CR,0.15,25.43
2021-11-24 09:36:14,CR,0.15,30.48
2021-11-24 09:36:21,CT,0.16,686.6
2021-11-24 09:36:23,CR,0.31,12.03
2021-11-24 09:36:24,MG,0.2,11.96
2021-11-24 09:36:26,US,0.17,140.29
2021-11-24 09:36:27,CR,0.29,11.52
2021-11-24 09:36:28,CT,0.17,707.49
2021-11-24 09:36:29,US,0.36,89.46
2021-11-24 09:36:30,US,0.15,180.88
2021-11-24 09:36:31,MG,0.18,13.3
2021-11-24 09:36:34,CT,0.18,704.08
2021-11-24 09:36:34,CR,0.15,29.87
2021-11-24 09:36:37,US,0.16,165.7
2021-11-24 09:36:39,MR,0.17,454.09
2021-11-24 09:36:44,CR,0.2,27.2
2021-11-24 09:44:58,CR,1.47,17.05
2021-11-24 09:44:58,MG,0.21,10.26
2021-11-24 09:44:59,US,0.17,234.62
2021-11-24 09:44:59,CR,0.15,25.81
2021-11-24 09:45:01,MG,0.22,12.19
2021-11-24 09:45:01,CR,0.21,18.7
2021-11-24 09:45:02,CR,0.28,29.97
2021-11-24 09:45:03,CR,0.15,24.92
2021-11-24 09:45:04,CR,0.16,26.91
2021-11-24 09:45:05,CR,0.15,25.86
2021-11-24 09:45:07,CR,0.17,25.84
2021-11-24 09:45:09,CR,0.23,14.64
2021-11-24 09:45:10,CT,0.23,285.81
2021-11-24 09:45:10,US,0.2,272.58
2021-11-24 09:45:11,CR,0.15,30.79
2021-11-24 09:45:13,US,2.11,266.95
2021-11-24 09:45:13,CR,0.23,20.46
2021-11-24 09:45:14,US,0.29,282.64
2021-11-24 09:45:15,CR,0.15,26.86
2021-11-24 09:45:16,CT,0.12,442.72
2021-11-24 09:45:18,CR,0.33,16.29
2021-11-24 09:45:18,CT,0.19,586.23
2021-11-24 09:45:19,CR,0.16,25.66
2021-11-24 09:45:20,CR,0.15,29.64
2021-11-24 09:45:21,MR,0.13,423.07
2021-11-24 09:45:23,US,0.16,188.04
2021-11-24 09:45:24,CR,0.27,15.12
2021-11-24 09:45:25,CR,0.2,20.74
2021-11-24 09:45:26,MR,0.11,553.82
2021-11-24 09:45:27,MG,0.19,10.71
2021-11-24 09:45:29,MG,0.23,11.38
2021-11-24 09:45:30,CR,0.18,25.12
2021-11-24 09:45:30,MG,0.34,4.07
2021-11-24 09:45:31,MG,0.18,10.22
2021-11-24 09:45:33,CR,0.58,10.14
2021-11-24 09:45:34,CR,0.16,23.11
2021-11-24 09:45:36,CT,0.21,222.76
2021-11-24 09:45:37,US,0.3,119.87
2021-11-24 09:45:37,MG,0.19,9.79
2021-11-24 09:45:38,CT,0.16,556.31
2021-11-24 09:45:38,CR,0.34,11.4
2021-11-24 09:45:40,CR,0.17,5.86
