Date,Modality,FirstImageTime,ImagesPerSecond,headers were loaded,Total headers load time is[seconds],First header load time is[seconds],header per second [with first header],header per second [without first header],Load completed for request,images were loaded,Total load time is[seconds],Total Pixel data load time is[seconds],First image time is[seconds],images per second [with first image],images per second [without first image],Headers transfer rate[kilobytes per second],Headers total bytes[kilobytes],Pixel data transfer rate[kilobytes per second],Pixel data total bytes[kilobytes],Total of[kilobytes per second],Total bytes[kilobytes],Number of images ,delete completed for request
2021-11-24 08:26:50,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed
2021-11-24 08:26:50,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed
2021-11-24 08:26:50,MR,0.11,1072.97,41.0,0.0885204,0.0852296,463.170072,12155.099064,1234.0,41.0,0.149231,0.0607108,0.11431,274.741475,1145.44585,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,82.0,-2059141120.0
2021-11-24 08:26:53,CR,0.3,14.45,2.0,0.154205,0.131709,12.969765,44.452149,1234.0,2.0,0.434167,0.279963,0.318264,4.606518,8.627882,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,255066112.0
2021-11-24 08:26:55,CR,0.29,10.66,2.0,0.150786,0.128389,13.263804,44.64784,1234.0,2.0,0.479049,0.328262,0.313784,4.174941,6.050903,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1747976192.0
2021-11-24 08:26:56,CR,0.15,30.49,2.0,0.0885162,0.0858894,22.594734,380.691335,1234.0,2.0,0.216581,0.128065,0.153617,9.234403,15.88194,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,282853376.0
2021-11-24 08:26:57,US,0.18,151.98,15.0,0.100968,0.0982851,148.562656,5219.206681,1234.0,76.0,0.68343,0.582462,0.186058,111.203862,150.792839,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,91.0,-1874329600.0
2021-11-24 08:26:57,MR,0.12,574.89,1043.0,0.193081,0.0927251,5401.875171,10383.03639,1234.0,1043.0,1.93204,1.73896,0.218143,539.843113,607.970339,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2086.0,-2052587520.0
2021-11-24 08:26:59,CR,0.16,21.5,2.0,0.0912087,0.0881514,21.927733,327.085991,1234.0,2.0,0.257128,0.165919,0.167166,7.778233,11.115829,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,1798045696.0
2021-11-24 08:26:59,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed
